task_type,input_size,cpu_at_submit,ram_at_submit,active_tasks,gpu_available,actual_duration
matrix_multiply,35,71.7,29.6,4,0,13.78
inference,99,58.1,12.5,2,0,5.09
inference,37,55.5,67.3,13,0,2.37
synthetic_load,838,83.2,70.7,5,1,161.15
compress_data,230,91.1,36.9,2,1,12.49
synthetic_load,628,28.8,13.5,14,0,144.08
ml_training,90,54.7,76.4,11,0,23.05
matrix_multiply,687,25.5,33.2,2,0,81.0
ml_training,294,45.8,76.7,5,1,45.41
synthetic_load,728,89.3,61.8,5,0,132.5
ml_training,286,94.1,61.2,7,1,52.81
matrix_multiply,244,79.0,74.4,12,1,40.32
inference,907,69.6,27.0,15,1,31.13
ml_training,156,28.8,29.7,8,1,28.15
ml_training,380,24.7,89.8,15,0,84.83
matrix_multiply,166,61.5,73.4,13,0,37.82
inference,489,52.6,87.7,0,0,26.34
inference,778,29.0,61.3,3,1,23.17
ml_training,13,90.8,80.1,8,0,7.85
matrix_multiply,901,61.3,77.3,6,0,98.3
compress_data,562,90.8,83.8,0,1,30.51
matrix_multiply,961,37.7,88.8,9,0,96.7
inference,979,12.1,68.6,2,0,43.6
ml_training,979,54.5,31.2,13,0,224.16
compress_data,740,33.1,89.6,11,1,54.3
ml_training,133,27.3,15.1,0,0,28.74
matrix_multiply,82,68.7,14.7,2,0,16.21
matrix_multiply,536,26.4,63.5,6,0,68.2
inference,600,47.5,72.8,13,0,26.77
ml_training,372,43.1,47.4,1,0,66.91
synthetic_load,829,82.6,29.9,6,1,149.38
compress_data,295,46.6,80.0,2,1,20.48
inference,110,9.6,89.9,0,0,6.31
compress_data,180,41.6,48.5,12,0,18.04
matrix_multiply,409,28.9,72.7,14,1,61.88
inference,687,69.7,22.4,9,0,39.98
inference,763,53.8,69.8,1,0,39.66
inference,951,81.7,22.6,2,0,42.11
matrix_multiply,701,82.6,42.3,7,0,87.76
ml_training,683,57.5,51.8,8,0,147.06
synthetic_load,254,28.9,20.5,9,1,48.54
matrix_multiply,19,46.2,89.9,3,0,8.81
inference,281,16.9,37.9,2,0,13.66
compress_data,458,80.0,66.3,0,1,28.11
matrix_multiply,971,84.0,31.2,3,0,98.57
inference,225,69.6,26.3,8,1,6.89
matrix_multiply,104,62.1,76.3,1,0,14.26
compress_data,662,93.2,22.9,14,1,45.81
matrix_multiply,87,90.1,65.3,4,0,21.13
inference,575,18.3,20.2,9,1,19.52
matrix_multiply,930,37.2,64.6,3,1,107.71
ml_training,645,72.5,84.1,7,0,152.67
compress_data,912,42.1,24.3,10,1,59.26
compress_data,283,19.3,66.1,12,0,28.5
compress_data,214,78.5,46.8,9,0,17.7
compress_data,418,34.5,79.1,8,1,30.93
ml_training,705,93.3,52.9,0,0,162.28
synthetic_load,192,57.3,88.7,1,0,40.69
synthetic_load,756,75.8,44.9,3,1,171.02
compress_data,270,9.0,44.9,6,1,19.24
synthetic_load,648,33.3,77.8,9,1,136.79
synthetic_load,422,67.7,54.4,6,1,90.0
ml_training,703,72.3,23.9,9,1,110.38
matrix_multiply,321,30.8,44.4,10,1,47.79
compress_data,533,47.6,82.1,5,0,30.97
inference,353,13.4,86.2,7,1,9.84
compress_data,160,7.2,29.6,15,0,20.61
inference,209,69.7,40.7,12,0,9.97
matrix_multiply,924,72.6,71.6,3,1,92.05
inference,485,9.5,29.9,3,1,13.03
ml_training,693,52.8,54.7,10,1,110.78
inference,446,79.8,53.8,5,1,13.97
compress_data,870,62.4,71.3,15,0,53.74
matrix_multiply,740,30.7,31.7,10,0,80.71
compress_data,402,67.5,66.5,2,1,23.04
inference,487,42.4,26.5,13,1,16.86
inference,978,67.6,78.5,12,1,25.57
synthetic_load,315,72.8,78.3,13,0,64.23
synthetic_load,456,48.7,41.1,12,0,101.59
compress_data,647,53.1,82.6,0,0,36.32
compress_data,897,46.6,14.0,12,1,50.12
synthetic_load,355,73.5,40.3,13,1,79.75
ml_training,29,72.4,14.2,11,0,9.38
matrix_multiply,782,7.8,29.8,0,0,72.43
ml_training,695,15.3,85.8,14,1,115.11
compress_data,630,59.7,69.8,3,0,41.01
matrix_multiply,602,7.3,35.0,12,1,88.97
compress_data,87,58.3,76.4,7,0,12.97
synthetic_load,880,66.6,74.4,1,1,179.07
synthetic_load,80,50.5,37.3,13,1,15.0
synthetic_load,660,85.2,46.8,4,1,120.71
inference,998,63.5,59.3,15,1,29.98
inference,284,34.0,29.6,2,1,9.87
compress_data,778,46.8,58.8,12,1,43.16
synthetic_load,196,48.9,38.4,8,1,37.52
inference,728,84.2,54.5,6,0,34.35
ml_training,510,55.0,29.2,15,1,78.05
matrix_multiply,105,31.5,42.4,7,1,23.69
synthetic_load,494,54.8,37.5,10,1,105.98
synthetic_load,323,27.6,19.7,6,1,57.72
inference,983,73.6,24.8,6,1,28.2
inference,788,52.2,32.6,3,0,37.48
synthetic_load,193,32.2,66.6,4,1,33.89
matrix_multiply,576,31.3,85.5,15,0,90.8
inference,301,47.2,45.2,5,0,14.37
ml_training,126,79.0,42.1,2,0,26.15
inference,981,32.3,89.5,3,1,30.7
inference,241,74.8,40.4,14,1,8.84
ml_training,322,56.2,14.8,3,0,69.46
synthetic_load,686,12.3,29.2,2,0,116.94
ml_training,715,58.4,33.3,7,1,117.1
ml_training,82,66.9,83.9,6,1,14.73
compress_data,673,18.4,31.3,4,0,32.8
synthetic_load,619,72.4,55.5,9,1,111.13
synthetic_load,726,41.2,31.8,15,1,127.64
matrix_multiply,920,43.9,35.8,8,0,93.18
inference,611,90.6,90.0,8,0,33.94
compress_data,491,51.7,45.4,8,0,37.13
ml_training,660,78.3,87.5,15,1,101.03
synthetic_load,696,14.4,22.9,13,1,130.63
ml_training,843,73.4,12.9,2,1,120.01
matrix_multiply,801,41.4,51.2,0,1,80.03
compress_data,540,37.6,70.5,14,0,36.73
inference,144,88.5,45.0,15,0,6.94
inference,828,26.5,22.7,0,1,22.04
matrix_multiply,482,90.2,61.8,4,1,66.33
synthetic_load,531,68.5,43.2,15,1,99.3
inference,158,39.5,83.7,4,0,7.74
ml_training,358,89.1,50.6,0,1,62.23
inference,603,94.9,49.2,4,1,19.26
synthetic_load,350,54.7,53.5,14,1,78.98
compress_data,595,39.5,78.5,13,0,40.19
ml_training,732,87.2,40.5,4,1,130.01
compress_data,524,91.9,36.6,3,1,26.13
ml_training,25,70.0,42.8,4,0,8.58
synthetic_load,356,61.1,41.8,2,1,80.08
inference,399,90.9,60.1,15,0,21.59
compress_data,656,66.6,33.0,7,0,38.61
matrix_multiply,788,62.0,79.8,14,0,108.89
matrix_multiply,57,34.2,14.5,11,1,23.41
compress_data,553,42.1,64.5,5,0,30.31
inference,901,39.4,64.7,15,0,41.79
synthetic_load,480,28.0,10.8,14,1,101.71
compress_data,85,44.8,37.6,9,1,13.3
ml_training,875,32.2,89.9,15,0,164.05
inference,377,56.7,89.4,9,0,22.2
ml_training,291,5.7,79.2,1,1,50.0
synthetic_load,804,76.9,58.6,11,0,168.99
inference,266,66.0,67.7,4,0,15.65
matrix_multiply,326,76.0,12.7,11,0,46.4
synthetic_load,344,72.3,24.1,4,1,70.9
synthetic_load,860,19.8,83.1,15,1,185.15
synthetic_load,833,15.4,87.0,4,0,184.94
ml_training,1000,81.1,54.6,2,1,131.83
inference,136,45.9,63.8,8,1,4.98
synthetic_load,120,65.7,47.7,10,0,26.44
ml_training,941,68.1,61.9,3,0,165.95
matrix_multiply,321,94.6,19.3,7,0,45.75
synthetic_load,696,90.4,65.7,13,0,157.31
matrix_multiply,863,49.0,42.6,8,0,106.5
compress_data,464,45.0,28.9,11,0,37.61
synthetic_load,567,86.2,61.6,1,1,107.38
matrix_multiply,981,81.3,46.4,6,0,96.18
synthetic_load,259,94.0,73.0,6,0,58.99
inference,222,57.8,75.0,7,1,7.83
inference,12,30.0,88.7,4,1,0.72
matrix_multiply,686,83.0,20.5,11,0,91.63
matrix_multiply,188,28.9,20.1,13,0,42.67
ml_training,469,75.0,51.1,3,1,74.46
inference,54,70.5,82.7,9,1,2.42
matrix_multiply,72,94.9,77.8,13,0,31.35
ml_training,85,85.9,35.8,4,0,18.78
inference,658,57.7,67.0,12,1,20.03
inference,450,13.9,66.1,6,1,13.44
compress_data,433,35.5,46.3,13,0,31.56
synthetic_load,691,27.9,86.3,15,0,121.74
matrix_multiply,105,43.9,69.6,11,0,29.69
inference,989,55.5,36.4,3,1,28.9
ml_training,898,87.4,14.1,9,1,132.31
inference,529,24.1,62.5,7,0,25.49
inference,386,15.3,32.3,7,1,12.95
inference,638,65.7,54.5,8,0,29.44
synthetic_load,953,35.6,10.5,4,1,166.61
matrix_multiply,103,72.2,27.2,13,1,31.82
synthetic_load,329,69.9,72.1,2,0,60.25
inference,60,65.7,31.8,13,1,2.54
ml_training,289,24.4,51.0,11,1,40.05
inference,508,52.4,34.7,7,1,18.06
matrix_multiply,17,23.4,85.6,4,1,8.31
matrix_multiply,17,49.8,44.5,4,1,10.29
compress_data,522,55.3,63.4,11,0,35.67
matrix_multiply,456,6.7,83.7,10,1,62.28
ml_training,306,15.4,11.7,10,0,67.66
inference,481,79.9,83.6,2,1,16.8
compress_data,456,58.0,51.9,12,1,36.46
compress_data,351,75.1,16.1,3,0,22.92
synthetic_load,369,70.5,75.5,4,0,66.25
synthetic_load,212,20.6,22.2,2,0,48.61
ml_training,485,72.9,70.8,14,1,85.51
synthetic_load,164,44.6,47.5,9,1,34.62
synthetic_load,529,11.7,46.9,1,0,101.86
synthetic_load,88,63.0,88.2,2,1,18.65
inference,987,76.3,81.7,14,0,47.43
ml_training,523,18.6,14.9,3,1,91.0
matrix_multiply,526,63.2,13.1,14,1,77.31
inference,172,37.8,83.4,12,1,5.99
inference,63,76.0,61.8,2,1,2.33
ml_training,300,27.7,78.1,4,1,41.69
compress_data,948,36.5,87.4,12,0,61.32
matrix_multiply,327,55.3,61.5,10,0,53.04
inference,105,63.1,43.9,11,0,5.64
compress_data,983,24.3,85.8,15,0,58.5
compress_data,168,11.9,77.6,3,0,13.77
inference,144,58.8,22.3,5,0,8.3
matrix_multiply,430,37.8,67.6,14,1,70.88
ml_training,249,53.1,34.8,15,0,50.53
inference,461,46.6,32.5,12,1,16.3
compress_data,830,59.4,79.8,1,1,49.71
inference,966,14.2,77.7,3,1,25.49
compress_data,289,45.4,51.1,13,0,29.92
compress_data,846,45.6,38.0,0,1,37.62
inference,392,26.2,89.6,11,0,17.05
matrix_multiply,869,69.3,36.8,4,0,83.02
ml_training,722,79.8,70.7,15,1,116.81
matrix_multiply,29,28.0,76.8,13,0,25.77
compress_data,318,16.0,29.1,14,0,24.71
ml_training,621,53.2,60.6,7,0,119.55
matrix_multiply,639,36.8,55.7,5,0,73.76
synthetic_load,79,90.8,53.5,0,1,19.59
matrix_multiply,660,39.8,39.9,0,1,73.87
synthetic_load,256,71.0,60.3,10,0,45.43
inference,356,78.2,24.0,14,1,11.91
compress_data,74,69.4,85.5,1,1,6.43
compress_data,917,8.8,84.7,12,1,53.7
compress_data,302,37.1,72.5,10,1,22.43
synthetic_load,457,85.1,69.5,12,1,106.33
ml_training,718,49.8,83.9,8,0,157.3
